202,210
206,230
230,213
226,229
204,254
206,274
231,258
220,269
246,209
253,234
273,212
274,232
245,249
246,264
264,249
257,270
203,296
203,323
216,285
223,324
205,355
204,397
222,344
226,405
251,298
248,329
281,298
274,325
220,315
238,377
254,347
242,358
309,209
307,229
336,212
334,229
309,247
306,272
335,245
335,271
359,211
363,230
413,211
406,231
362,241
352,260
414,241
420,267
305,293
307,317
336,298
335,318
306,350
307,394
331,341
0,0
368,291
369,312
417,294
419,318
375,345
363,394
420,352
421,396
